Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1624;NA;11.25;NA;NA;30.0;23.6
1625;NA;29.50;NA;NA;38.0;40.6
1626;39.5;23.50;NA;NA;49.0;32.6
1627;NA;42.25;NA;NA;49.0;51.6
1628;NA;40.50;NA;NA;39.0;68.5
1629;30.0;25.25;NA;NA;52.0;21.6
1630;NA;15.25;NA;NA;NA;30.6
1631;NA;16.50;NA;NA;NA;26.7
1632;NA;30.50;NA;NA;NA;48.6
1633;36.5;33.50;NA;NA;56.0;40.7
1634;NA;29.50;NA;NA;39.0;32.6
1635;NA;21.50;NA;NA;31.0;35.6
1636;NA;0.50;NA;NA;31.0;24.3
1637;NA;-0.50;NA;NA;35.0;27.5
1638;NA;6.50;NA;NA;43.0;29.6
1639;NA;16.25;NA;NA;35.0;35.6
1640;34.5;27.75;NA;NA;45.0;37.7
1641;NA;26.75;NA;NA;37.0;42.8
1642;NA;29.25;NA;NA;38.0;46.6
1643;NA;27.75;NA;NA;40.0;48.5
1644;NA;11.50;NA;NA;40.0;30.0
1645;NA;5.75;NA;NA;41.0;29.5
1646;NA;12.75;NA;NA;24.0;41.8
1647;NA;18.75;NA;NA;37.0;41.5
1648;25.0;27.75;NA;NA;44.0;45.5
1649;NA;34.25;NA;NA;38.0;55.4
1650;36.5;23.00;NA;NA;36.0;49.5
1651;NA;14.75;NA;NA;32.0;33.5
1652;NA;17.75;NA;NA;37.0;37.6
1653;25.5;8.75;NA;NA;33.0;31.6
1654;NA;28.25;NA;NA;44.0;47.8
1655;NA;20.75;NA;NA;38.0;38.8
1656;NA;23.75;NA;NA;41.0;38.4
1657;NA;17.75;NA;NA;35.0;33.8
1658;NA;27.75;NA;NA;48.0;44.0
1659;NA;4.25;NA;NA;38.0;26.0
1660;NA;5.25;NA;NA;34.0;26.2
1661;NA;8.75;NA;NA;42.0;38.2
1662;19.5;20.25;NA;NA;39.0;45.5
1663;28.5;29.25;NA;NA;45.0;50.2
1664;NA;23.75;NA;NA;35.0;37.0
1665;21.5;13.25;NA;NA;NA;34.3
1666;12.8;8.25;NA;NA;NA;36.8
1667;NA;26.75;NA;NA;NA;51.4
1668;NA;16.75;NA;NA;NA;34.6
1669;NA;10.75;NA;NA;33.0;37.8
1670;NA;16.75;NA;NA;41.0;42.4
1671;NA;12.25;NA;NA;36.0;38.7
1672;NA;23.75;NA;NA;33.0;39.8
1673;NA;15.25;NA;NA;44.0;56.6
1674;NA;18.25;NA;NA;40.0;47.8
1675;60.0;37.25;NA;NA;56.0;64.2
1676;NA;4.25;NA;NA;35.0;28.3
1677;NA;16.75;NA;NA;38.0;47.8
